from_sku,from_title,from_price,to_sku,to_title,to_price,price_diff,price_increase_pct
nan,Turbo Ford Ranger 3.2 Tdci Puma Duratorq Oe,990000.0,nan,Kit X4 Inyector S10 Blazer Frontier Xterra 2.8 Mwm Oe,1400000.0,410000.0,41.4
nan,Turbo Toyota Hilux Sw4 3.0 D4d 1kd Ct16v Oe,790000.0,nan,Turbo Ford Ranger 3.2 Tdci Puma Duratorq Oe,990000.0,200000.0,25.3
nan,Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5,6930.0,nan,Pinceles X 20 Pintura Acrílico Acuarela Óleo Arte Kleur Nara,9300.0,2370.0,34.2
nan,Soporte Radiador Anodizado Honda Civic 92-95 Colores,5706.0,nan,Scanner Escaner Multimarca Bluetooth Obd2 Oe V1.5,6930.0,1224.0,21.5
nan,Scanner Escaner Automotriz Lectura Bluetooth Obd2 Obdii V2.1,3958.0,nan,Sujetador Paragolpes Universal Auto Aluminio Jdm Colores,5137.0,1179.0,29.8
